image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250612_171533954_0046.tiff,18.7352,-67.8809,895.77,-95.3946,42.4099,900.579,-111.284,-113.128,5.54425,158.785,3.22184,0.706692,0.0069322,0.00223021,0.707483,0.0614479
Basler_acA2040-35gm__23324651__20250612_171533954_0047.tiff,18.7351,-67.8855,895.805,-95.3992,42.4092,900.613,-111.29,-113.134,5.4764,158.791,3.22787,0.706715,0.00660294,0.00180153,0.707466,0.0651364
Basler_acA2040-35gm__23324651__20250612_171533954_0048.tiff,18.7344,-67.8812,895.809,-95.3949,42.4125,900.58,-111.287,-113.128,5.4951,158.786,3.22249,0.706688,0.00701059,0.00220234,0.707487,0.0569785
Basler_acA2040-35gm__23324651__20250612_171533954_0049.tiff,18.7309,-67.8781,895.76,-95.3967,42.4124,900.58,-111.281,-113.128,5.55338,158.784,3.22052,0.706711,0.00704979,0.00206242,0.707464,0.0613707
Basler_acA2040-35gm__23324651__20250612_171533954_0050.tiff,18.7309,-67.8781,895.76,-95.3967,42.4124,900.58,-111.281,-113.128,5.55338,158.784,3.22052,0.706711,0.00704979,0.00206242,0.707464,0.0583175
Basler_acA2040-35gm__23324651__20250612_171533954_0051.tiff,18.7334,-67.8845,895.777,-95.3963,42.4086,900.583,-111.288,-113.128,5.5154,158.787,3.22341,0.706706,0.00685361,0.00202194,0.707472,0.0576209
Basler_acA2040-35gm__23324651__20250612_171533954_0052.tiff,18.7334,-67.8845,895.777,-95.3963,42.4086,900.583,-111.288,-113.128,5.5154,158.787,3.22341,0.706706,0.00685361,0.00202194,0.707472,0.0646983
Basler_acA2040-35gm__23324651__20250612_171533954_0053.tiff,18.7346,-67.8838,895.784,-95.3949,42.4082,900.573,-111.283,-113.131,5.49871,158.785,3.22189,0.706687,0.00688602,0.00205238,0.70749,0.0603805
Basler_acA2040-35gm__23324651__20250612_171533954_0054.tiff,18.7346,-67.8838,895.784,-95.3949,42.4082,900.573,-111.283,-113.131,5.49871,158.785,3.22189,0.706687,0.00688602,0.00205238,0.70749,0.0564428
Basler_acA2040-35gm__23324651__20250612_171533954_0055.tiff,18.734,-67.8856,895.78,-95.3924,42.4051,900.552,-111.284,-113.125,5.50539,158.782,3.21827,0.706709,0.00705777,0.00219187,0.707466,0.0586247
Basler_acA2040-35gm__23324651__20250612_171533954_0056.tiff,18.7352,-67.8809,895.768,-95.3954,42.4123,900.605,-111.287,-113.128,5.5728,158.788,3.22501,0.706705,0.00727701,0.00222766,0.707468,0.0577326
Basler_acA2040-35gm__23324651__20250612_171533954_0057.tiff,18.7319,-67.8838,895.784,-95.3982,42.4095,900.587,-111.286,-113.129,5.5351,158.787,3.22368,0.706712,0.00682185,0.00214184,0.707466,0.0599421
