pair,marker,sample_idx,dist1_mm,dist2_mm,delta_mm,true_mm,error_mm
0_+10,1,63,875.7658402228332,776.7946357953433,98.97120442748985,100,1.0287955725101483
0_+10,1,64,875.7658402228332,776.8334711376801,98.93236908515303,100,1.0676309148469727
0_+10,1,65,875.9051525269655,776.8699975189328,99.03515500803269,100,0.9648449919673112
0_+10,1,66,875.8914153903941,776.8336258476171,99.05778954277696,100,0.942210457223041
0_+10,1,67,875.7674591387328,776.8336258476171,98.93383329111566,100,1.0661667088843387
0_+10,1,68,875.8371847689128,776.7249728998263,99.11221186908654,100,0.8877881309134636
0_+10,1,69,875.6574027108559,776.7800388067647,98.87736390409123,100,1.1226360959087742
0_+10,1,70,875.6574027108559,776.7800388067647,98.87736390409123,100,1.1226360959087742
0_+10,1,71,875.8518175571106,776.8378718940321,99.01394566307852,100,0.9860543369214838
0_+10,1,72,875.3981146045465,776.6326921193411,98.76542248520548,100,1.2345775147945233
0_+10,1,73,875.8458442346863,776.4622351571147,99.38360907757158,100,0.6163909224284225
0_+10,1,74,875.7713375886204,776.4622351571147,99.30910243150572,100,0.6908975684942789
0_+10,1,75,875.7713375886204,776.8253562733239,98.94598131529654,100,1.0540186847034647
0_+10,1,76,875.6250877631185,776.8329198929065,98.79216787021198,100,1.2078321297880166
0_+10,1,77,875.6250877631185,776.8559218363501,98.76916592676832,100,1.2308340732316765
0_+10,1,78,875.8129636357068,776.8559218363501,98.9570417993566,100,1.0429582006433975
0_+10,1,79,875.8332561407675,776.7655503338383,99.06770580692921,100,0.9322941930707884
0_+10,1,80,875.6626651913745,776.8187828605179,98.84388233085656,100,1.1561176691434412
0_+10,1,81,875.2882323383849,776.6337957419217,98.65443659646314,100,1.3455634035368575
0_+10,1,82,875.2882323383849,776.7506576831237,98.53757465526121,100,1.46242534473879
0_+10,1,83,875.6177826309633,776.7506576831237,98.86712494783967,100,1.1328750521603297
0_+10,1,84,875.6563920532454,776.6957180592412,98.9606739940042,100,1.0393260059958038
0_+10,1,85,875.6563920532454,776.8812096301987,98.77518242304677,100,1.2248175769532281
0_+10,1,86,875.7246886957786,776.8812096301987,98.84347906557991,100,1.1565209344200866
0_+10,1,87,875.9553949961488,776.7496182444343,99.20577675171455,100,0.7942232482854479
0_+10,1,88,875.7069942871295,776.6080272590934,99.0989670280361,100,0.9010329719639003
0_+10,1,89,875.7069942871295,776.7605045447481,98.94648974238146,100,1.053510257618541
0_+10,1,90,875.8035518639713,776.7605045447481,99.0430473192232,100,0.9569526807767943
0_+10,1,91,875.7736982989584,776.8244586569085,98.94923964204986,100,1.0507603579501392
0_+10,1,92,875.8025023470431,776.783895782276,99.01860656476708,100,0.981393435232917
0_+10,1,93,875.7702792878688,776.7871992778091,98.98308001005967,100,1.0169199899403338
0_+10,1,94,875.7702792878688,776.7871992778091,98.98308001005967,100,1.0169199899403338
0_+10,1,95,875.6774294429712,776.6618737142935,99.01555572867767,100,0.9844442713223316
0_+10,1,96,875.655467104012,776.7328860807837,98.9225810232283,100,1.0774189767716962
0_+10,1,97,875.5598030506046,776.7328860807837,98.8269169698209,100,1.1730830301791002
0_+10,1,98,875.5598030506046,776.7126777505348,98.84712530006982,100,1.1528746999301802
0_+10,1,99,875.707359327394,776.7879129209122,98.91944640648182,100,1.0805535935181751
0_+10,1,100,875.6693149638102,776.8102415843144,98.85907337949573,100,1.140926620504274
0_+10,2,1,879.3633025979591,780.7657920957538,98.5975105022053,100,1.4024894977947042
0_+10,2,2,879.3633025979591,780.7657920957538,98.5975105022053,100,1.4024894977947042
0_+10,2,3,879.310585214269,780.8753664140014,98.43521880026765,100,1.5647811997323515
0_+10,2,4,879.310585214269,780.8753664140014,98.43521880026765,100,1.5647811997323515
0_+10,2,5,879.403243508134,780.8765908409747,98.52665266715928,100,1.4733473328407172
0_+10,2,6,879.3370886983438,780.8957319615872,98.44135673675657,100,1.5586432632434253
0_+10,2,7,879.4829608919987,780.7875852361433,98.6953756558554,100,1.3046243441445995
0_+10,2,8,879.3319809626923,780.7331729286923,98.59880803400006,100,1.4011919659999421
0_+10,2,9,879.4755861283102,780.7125412814719,98.76304484683828,100,1.2369551531617162
0_+10,2,10,879.4755861283102,780.7125412814719,98.76304484683828,100,1.2369551531617162
0_+10,2,11,879.1398852232669,780.8072109747235,98.33267424854341,100,1.6673257514565876
0_+10,2,12,879.2063749280552,780.8072109747235,98.39916395333171,100,1.6008360466682916
0_+10,2,13,879.2713028181838,780.71176226676,98.55954055142377,100,1.4404594485762345
0_+10,2,14,879.2385702396133,780.7326607350024,98.50590950461094,100,1.4940904953890595
0_+10,2,15,879.2385702396133,780.8459434691056,98.39262677050772,100,1.607373229492282
0_+10,2,16,879.5655595956133,780.7944724536491,98.77108714196424,100,1.2289128580357556
0_+10,2,17,879.3012941825913,780.7445289572022,98.55676522538909,100,1.4432347746109144
0_+10,2,18,879.3012941825913,780.7445289572022,98.55676522538909,100,1.4432347746109144
0_+10,2,19,879.3320269604911,780.8910190390893,98.44100792140182,100,1.5589920785981803
0_+10,2,20,879.3794337456698,780.825293719581,98.5541400260887,100,1.445859973911297
0_+10,2,21,879.3794337456698,780.825293719581,98.5541400260887,100,1.445859973911297
0_+10,2,22,879.368581103798,780.6801129022842,98.68846820151373,100,1.3115317984862713
0_+10,2,23,879.397031479656,780.6145440111436,98.78248746851239,100,1.217512531487614
0_+10,2,24,879.397031479656,780.6145440111436,98.78248746851239,100,1.217512531487614
0_+10,2,25,879.4295898092815,780.8161640104368,98.61342579884479,100,1.386574201155213
0_+10,2,26,879.4295898092815,780.8161640104368,98.61342579884479,100,1.386574201155213
0_+10,2,27,879.2786840662412,780.7389199371632,98.53976412907798,100,1.4602358709220198
0_+10,2,28,879.2786840662412,780.9158081112708,98.36287595497038,100,1.6371240450296227
0_+10,2,29,879.3163986034738,780.8007305595321,98.51566804394167,100,1.4843319560583268
0_+10,2,30,879.0599976118888,780.8007305595321,98.25926705235668,100,1.7407329476433233
0_+10,2,31,879.3215080940035,780.7416285357011,98.57987955830242,100,1.420120441697577
0_+10,2,32,879.441437382843,780.9872794955899,98.45415788725313,100,1.5458421127468682
0_+10,2,33,879.2659736804219,780.806402588822,98.45957109159986,100,1.5404289084001448
0_+10,2,34,879.2659736804219,780.806402588822,98.45957109159986,100,1.5404289084001448
