pair,marker,sample_idx,dist1_mm,dist2_mm,delta_mm,true_mm,error_mm
0_+10,1,87,887.9697346335628,787.6849328334586,100.28480180010422,100,0.2848018001042192
0_+10,1,88,887.9472402258875,787.6783841924442,100.26885603344329,100,0.268856033443285
0_+10,1,89,887.9472402258875,787.6828372371523,100.26440298873524,100,0.2644029887352417
0_+10,1,90,888.0480725854261,787.6828372371523,100.36523534827381,100,0.36523534827381354
0_+10,1,91,888.0588323989633,787.6778508937522,100.38098150521114,100,0.38098150521113894
0_+10,1,92,888.0308938991818,787.712460951666,100.31843294751582,100,0.3184329475158165
0_+10,1,93,888.0431932506717,787.6459564893228,100.39723676134895,100,0.3972367613489496
0_+10,1,94,888.0431932506717,787.6459564893228,100.39723676134895,100,0.3972367613489496
0_+10,1,95,888.0046732415151,787.589930504225,100.41474273729011,100,0.414742737290112
0_+10,1,96,887.9978797048842,787.6339767687335,100.36390293615068,100,0.36390293615068003
0_+10,1,97,888.0632728275502,787.6339767687335,100.4292960588167,100,0.4292960588167034
0_+10,1,98,888.0632728275502,787.622321993511,100.4409508340392,100,0.44095083403919944
0_+10,1,99,888.0084827748439,787.7124614026683,100.29602137217557,100,0.29602137217557356
0_+10,1,100,888.0318448425484,787.705550882822,100.3262939597264,100,0.3262939597263994
0_+10,2,1,894.4694245888173,794.2160125671164,100.25341202170091,100,0.2534120217009104
0_+10,2,2,894.4694245888173,794.2160125671164,100.25341202170091,100,0.2534120217009104
0_+10,2,3,894.4266706103357,794.2586287382027,100.16804187213302,100,0.16804187213301702
0_+10,2,4,894.4266706103357,794.2586287382027,100.16804187213302,100,0.16804187213301702
0_+10,2,5,894.445444115794,794.2295838314259,100.21586028436809,100,0.21586028436809102
0_+10,2,6,894.3991820095767,794.2454196711052,100.15376233847155,100,0.15376233847155163
0_+10,2,7,894.3606783013495,794.2392837860641,100.12139451528537,100,0.12139451528537393
0_+10,2,8,894.4296662456865,794.2484814698357,100.18118477585074,100,0.18118477585073833
0_+10,2,9,894.374035274124,794.2736878990327,100.10034737509136,100,0.10034737509135994
0_+10,2,10,894.374035274124,794.2736878990327,100.10034737509136,100,0.10034737509135994
0_+10,2,11,894.4409514081352,794.2651524756704,100.17579893246477,100,0.1757989324647724
0_+10,2,12,894.4310475501619,794.2651524756704,100.16589507449146,100,0.16589507449145913
0_+10,2,13,894.3992998030409,794.2356882936261,100.16361150941475,100,0.1636115094147499
0_+10,2,14,894.4055335718804,794.2412323579846,100.16430121389578,100,0.1643012138957829
0_+10,2,15,894.4055335718804,794.2288512458924,100.17668232598794,100,0.1766823259879402
0_+10,2,16,894.4341492930489,794.2564897092122,100.17765958383666,100,0.17765958383665748
0_+10,2,17,894.4159389768946,794.2402654804779,100.17567349641672,100,0.1756734964167208
0_+10,2,18,894.4159389768946,794.2402654804779,100.17567349641672,100,0.1756734964167208
0_+10,2,19,894.4505687813329,794.2556617235788,100.19490705775411,100,0.19490705775410788
0_+10,2,20,894.4547382887521,794.2406059617828,100.21413232696932,100,0.21413232696932027
0_+10,2,21,894.4547382887521,794.2406059617828,100.21413232696932,100,0.21413232696932027
0_+10,2,22,894.4109465343769,794.214798012666,100.19614852171082,100,0.19614852171082475
0_+10,2,23,894.4023592933161,794.2076164799478,100.1947428133683,100,0.19474281336829335
0_+10,2,24,894.4023592933161,794.2076164799478,100.1947428133683,100,0.19474281336829335
0_+10,2,25,894.3990821579872,794.2169667178925,100.18211544009466,100,0.18211544009466252
0_+10,2,26,894.3990821579872,794.2169667178925,100.18211544009466,100,0.18211544009466252
0_+10,2,27,894.4552978368735,794.2806625277491,100.17463530912437,100,0.1746353091243691
0_+10,2,28,894.4552978368735,794.2653282837039,100.18996955316959,100,0.18996955316958974
0_+10,2,29,894.4154712974838,794.2532720358979,100.1621992615859,100,0.16219926158589715
0_+10,2,30,894.4248800673257,794.2532720358979,100.17160803142781,100,0.17160803142780878
0_+10,2,31,894.4056437701184,794.2497504555415,100.15589331457693,100,0.1558933145769288
0_+10,2,32,894.404356937409,794.2667114063133,100.1376455310957,100,0.13764553109569988
0_+10,2,33,894.4664690814407,794.2214920027095,100.24497707873115,100,0.2449770787311536
0_+10,2,34,894.4664690814407,794.2214920027095,100.24497707873115,100,0.2449770787311536
0_+10,2,35,894.4221006059722,794.2210022233106,100.2010983826616,100,0.2010983826615984
0_+10,2,36,894.4156980281653,794.178361260202,100.23733676796326,100,0.23733676796325653
0_+10,2,37,894.4545210166474,794.1955195869466,100.25900142970079,100,0.2590014297007883
0_+10,2,38,894.4545210166474,794.1515505367033,100.30297047994407,100,0.3029704799440651
0_+10,2,39,894.4199537935299,794.1515505367033,100.26840325682656,100,0.2684032568265593
0_+10,2,40,894.4850380479038,794.1942709098889,100.29076713801487,100,0.2907671380148713
0_+10,2,41,894.4850380479038,794.2035586500479,100.28147939785595,100,0.28147939785594644
0_+10,2,42,894.4462683044353,794.2035586500479,100.24270965438745,100,0.24270965438745407
0_+10,2,43,894.4152893300293,794.2132567416701,100.2020325883592,100,0.20203258835920224
0_+10,2,44,894.3908287222873,794.2132567416701,100.17757198061724,100,0.17757198061724466
0_+10,2,45,894.3953110651744,794.2803000677594,100.11501099741497,100,0.11501099741497
0_+10,2,46,894.3953110651744,794.2803000677594,100.11501099741497,100,0.11501099741497
0_+10,2,47,894.390913342885,794.2550713378921,100.13584200499292,100,0.13584200499292365
0_+10,2,48,894.3954584997623,794.2144828977749,100.18097560198737,100,0.18097560198737028
0_+10,2,49,894.4336019666076,794.2932863121594,100.14031565444827,100,0.14031565444827265
0_+10,2,50,894.4336019666076,794.2932863121594,100.14031565444827,100,0.14031565444827265
0_+10,2,51,894.4497044806097,794.2634737310788,100.18623074953098,100,0.18623074953097785
0_+10,2,52,894.366267041602,794.2863554876288,100.07991155397315,100,0.07991155397314742
0_+10,2,53,894.366267041602,794.2975696878658,100.06869735373618,100,0.06869735373618369
0_+10,2,54,894.417510584833,794.2975696878658,100.11994089696725,100,0.11994089696725041
0_+10,2,55,894.4641837295555,794.2169818853284,100.2472018442271,100,0.24720184422710645
0_+10,2,56,894.4214551718335,794.2345195175352,100.18693565429828,100,0.1869356542982814
0_+10,2,57,894.4111099779843,794.2613189348075,100.14979104317683,100,0.14979104317683323
0_+10,2,58,894.4111099779843,794.2613189348075,100.14979104317683,100,0.14979104317683323
0_+10,2,59,894.4893984250791,794.2236670649207,100.26573136015838,100,0.2657313601583837
0_+10,2,60,894.4391654419657,794.2236670649207,100.21549837704492,100,0.21549837704492347
0_+10,2,61,894.4324526486558,794.2986640023134,100.1337886463424,100,0.13378864634239562
0_+10,2,62,894.4324526486558,794.2986640023134,100.1337886463424,100,0.13378864634239562
0_+10,2,63,894.4480882006793,794.2144782676843,100.23360993299502,100,0.23360993299502297
0_+10,2,64,894.4480882006793,794.2508756075375,100.19721259314178,100,0.19721259314178496
0_+10,2,65,894.4202032663394,794.2732335859996,100.1469696803398,100,0.14696968033979374
0_+10,2,66,894.4043391811167,794.2419180342032,100.16242114691352,100,0.16242114691351617
0_+10,2,67,894.4363572962919,794.2419180342032,100.19443926208874,100,0.19443926208873563
0_+10,2,68,894.4059545483472,794.2861939002149,100.11976064813223,100,0.1197606481322282
0_+10,2,69,894.4519279529617,794.2590684514342,100.19285950152744,100,0.1928595015274368
0_+10,2,70,894.4519279529617,794.2590684514342,100.19285950152744,100,0.1928595015274368
0_+10,2,71,894.4108765836035,794.2489259934067,100.16195059019674,100,0.16195059019673863
0_+10,2,72,894.4465947019811,794.240105660977,100.20648904100415,100,0.2064890410041471
0_+10,2,73,894.4321505657989,794.2036328428685,100.2285177229304,100,0.2285177229304054
0_+10,2,74,894.4418438190378,794.2036328428685,100.23821097616928,100,0.23821097616928455
0_+10,2,75,894.4418438190378,794.2514916518381,100.19035216719965,100,0.19035216719964865
0_+10,2,76,894.3967962716548,794.2456665259497,100.15112974570513,100,0.15112974570513416
0_+10,2,77,894.3967962716548,794.2601691614972,100.13662711015763,100,0.13662711015763307
0_+10,2,78,894.4532800135623,794.2601691614972,100.19311085206516,100,0.19311085206516054
0_+10,2,79,894.3770619384869,794.2199391455052,100.15712279298168,100,0.15712279298168141
0_+10,2,80,894.4262144150405,794.2319108433568,100.19430357168369,100,0.19430357168369028
0_+10,2,81,894.4214517369593,794.2170045608946,100.20444717606472,100,0.2044471760647184
0_+10,2,82,894.4214517369593,794.2546325071828,100.16681922977648,100,0.166819229776479
0_+10,2,83,894.4227089781878,794.2546325071828,100.16807647100495,100,0.1680764710049516
0_+10,2,84,894.4240564563378,794.2058389211326,100.21821753520521,100,0.2182175352052127
0_+10,2,85,894.4240564563378,794.2650760878512,100.1589803684866,100,0.15898036848659558
0_+10,2,86,894.4443767981384,794.2650760878512,100.17930071028718,100,0.17930071028717975
0_+10,2,87,894.4712225250458,794.230347345183,100.24087517986288,100,0.24087517986288276
0_+10,2,88,894.3538762062923,794.2748867247724,100.0789894815199,100,0.07898948151989771
0_+10,2,89,894.3538762062923,794.2220104704604,100.13186573583187,100,0.131865735831866
0_+10,2,90,894.4473435502507,794.2220104704604,100.22533307979029,100,0.22533307979028905
0_+10,2,91,894.244167966764,794.2516043499063,99.99256361685775,100,0.007436383142248815
0_+10,2,92,894.3776110930438,794.3079487134005,100.06966237964332,100,0.06966237964331867
0_+10,2,93,894.4630157792999,794.2371543343525,100.22586144494744,100,0.22586144494744076
0_+10,2,94,894.4630157792999,794.2371543343525,100.22586144494744,100,0.22586144494744076
0_+10,2,95,894.5302519450195,794.1802461606434,100.3500057843761,100,0.3500057843760942
0_+10,2,96,894.3886819671411,794.2425811716846,100.1461007954565,100,0.14610079545650478
0_+10,2,97,894.379709013571,794.2425811716846,100.13712784188635,100,0.13712784188635396
0_+10,2,98,894.379709013571,794.2730843555572,100.10662465801374,100,0.1066246580137431
0_+10,2,99,894.4291224157955,794.2539199141922,100.17520250160328,100,0.17520250160328033
0_+10,2,100,894.4063876544767,794.2547363504483,100.1516513040284,100,0.15165130402840532
0_-10,1,1,887.9836094989366,988.1252422125497,100.14163271361303,100,0.14163271361303487
0_-10,1,2,887.9836094989366,988.2342102801188,100.25060078118213,100,0.25060078118212914
0_-10,1,3,887.99544991506,988.2342102801188,100.23876036505874,100,0.238760365058738
0_-10,1,4,887.99544991506,988.2340471360517,100.23859722099166,100,0.23859722099166447
0_-10,1,5,887.9775740403865,988.2415167779636,100.26394273757717,100,0.26394273757716746
