pair,marker,sample_idx,dist1_mm,dist2_mm,delta_mm,true_mm,error_mm
0_+10,1,65,875.8962404127383,776.8823294157016,99.01391099703665,100,0.9860890029633538
0_+10,1,66,875.8951669403459,776.8530296890403,99.04213725130558,100,0.9578627486944242
0_+10,1,67,875.7678615886895,776.8530296890403,98.91483189964913,100,1.0851681003508702
0_+10,1,68,875.8440835183335,776.73459419981,99.10948931852352,100,0.8905106814764849
0_+10,1,69,875.6668699886194,776.7797843453242,98.88708564329522,100,1.1129143567047777
0_+10,1,70,875.6668699886194,776.7797843453242,98.88708564329522,100,1.1129143567047777
0_+10,1,71,875.8615345750942,776.8504166583723,99.0111179167219,100,0.9888820832780993
0_+10,1,72,875.3921556632988,776.6373838027982,98.75477186050057,100,1.2452281394994316
0_+10,1,73,875.8406856257952,776.4707318485398,99.36995377725543,100,0.6300462227445678
0_+10,1,74,875.7633499541087,776.4707318485398,99.29261810556886,100,0.707381894431137
0_+10,1,75,875.7633499541087,776.8358208890551,98.92752906505359,100,1.0724709349464092
0_+10,1,76,875.6278959533868,776.8444501354684,98.78344581791839,100,1.2165541820816088
0_+10,1,77,875.6278959533868,776.8689133854909,98.75898256789583,100,1.2410174321041723
0_+10,1,78,875.8172523657952,776.8689133854909,98.94833898030424,100,1.0516610196957572
0_+10,1,79,875.8320706247653,776.7666265156939,99.06544410907134,100,0.9345558909286638
0_+10,1,80,875.6675402006016,776.8274836022462,98.84005659835543,100,1.1599434016445684
0_+10,1,81,875.2900067378,776.638542689532,98.65146404826805,100,1.3485359517319466
0_+10,1,82,875.2900067378,776.7552060236899,98.53480071411013,100,1.4651992858898666
0_+10,1,83,875.6192887289584,776.7552060236899,98.86408270526852,100,1.1359172947314846
0_+10,1,84,875.653340258549,776.7008793705677,98.95246088798126,100,1.0475391120187396
0_+10,1,85,875.653340258549,776.8999688530117,98.75337140553722,100,1.246628594462777
0_+10,1,86,875.7257305869335,776.8999688530117,98.82576173392181,100,1.1742382660781914
0_+10,1,87,875.9531609577853,776.764110939141,99.18905001864425,100,0.8109499813557477
0_+10,1,88,875.7060922694934,776.618721407788,99.08737086170538,100,0.9126291382946192
