image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250710_164008603_0060.tiff,74.7848,-52.2628,987.621,-15.5961,42.2799,990.688,94.9925,-89.9591,0.462699,130.83,-0.0327127,0.999945,0.00170677,-0.0103731,-0.00035383,0.0728685
Basler_acA2040-35gm__23324651__20250710_164008603_0061.tiff,74.7893,-52.264,987.628,-15.5952,42.2817,990.662,94.9957,-89.9614,0.47423,130.834,-0.0288117,0.999938,0.00167557,-0.0110012,-0.000348585,0.0655134
Basler_acA2040-35gm__23324651__20250710_164008603_0062.tiff,74.7984,-52.2667,987.622,-15.5875,42.2771,990.669,94.9963,-89.9604,0.508519,130.834,-0.0289436,0.99994,0.00153768,-0.0108582,-0.000352868,0.0729496
Basler_acA2040-35gm__23324651__20250710_164008603_0063.tiff,74.8123,-52.2764,987.621,-15.5738,42.2665,990.671,94.9965,-89.9593,0.536116,130.833,-0.029411,0.999941,0.00128854,-0.0107343,-0.000339036,0.0769587
Basler_acA2040-35gm__23324651__20250710_164008603_0064.tiff,74.8123,-52.2764,987.621,-15.5738,42.2665,990.671,94.9965,-89.9593,0.536116,130.833,-0.029411,0.999941,0.00128854,-0.0107343,-0.000339036,0.0716891
Basler_acA2040-35gm__23324651__20250710_164008603_0065.tiff,74.8097,-52.2745,987.571,-15.5733,42.2684,990.683,94.996,-89.9584,0.621476,130.832,-0.0300344,0.999942,0.0010943,-0.010725,-0.000333834,0.0657022
Basler_acA2040-35gm__23324651__20250710_164008603_0066.tiff,74.7998,-52.2748,987.577,-15.5833,42.266,990.637,94.9942,-89.9564,0.607727,130.83,-0.0327999,0.999936,0.00119688,-0.0112365,-0.000349164,0.0760972
Basler_acA2040-35gm__23324651__20250710_164008603_0067.tiff,74.8024,-52.274,987.57,-15.5809,42.2659,990.651,94.9959,-89.9547,0.610077,130.83,-0.0327494,0.999938,0.00129222,-0.0110181,-0.000331207,0.0819026
Basler_acA2040-35gm__23324651__20250710_164008603_0068.tiff,74.8024,-52.274,987.57,-15.5809,42.2659,990.651,94.9959,-89.9547,0.610077,130.83,-0.0327494,0.999938,0.00129222,-0.0110181,-0.000331207,0.0695248
Basler_acA2040-35gm__23324651__20250710_164008603_0069.tiff,74.7933,-52.2693,987.586,-15.5888,42.2708,990.643,94.9908,-89.958,0.6315,130.828,-0.0340362,0.999939,0.000865437,-0.0109916,-0.000357259,0.0670334
