image_name,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_163603290_0024.tiff,3.77858e-15,4.18552e-16,-9.65292e-15,1.03746e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0728389
Basler_acA2040-35gm__23324651__20250529_163603290_0024.tiff,3.77858e-15,4.18552e-16,-9.65292e-15,1.03746e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0728389
Basler_acA2040-35gm__23324651__20250529_163603290_0025.tiff,1.11508e-14,-9.13756e-15,-9.8928e-14,9.9973e-14,-155.563,-1,-1,-1,-1,0.0855338
Basler_acA2040-35gm__23324651__20250529_163603290_0025.tiff,1.11508e-14,-9.13756e-15,-9.8928e-14,9.9973e-14,-155.563,-1.94031e-18,-1.94031e-18,-1.94031e-18,-1.94031e-18,0.0855338
Basler_acA2040-35gm__23324651__20250529_163603290_0025.tiff,1.11508e-14,-9.13756e-15,-9.8928e-14,9.9973e-14,-155.563,-1.514e-18,-1.514e-18,-1.514e-18,-1.514e-18,0.0855338
Basler_acA2040-35gm__23324651__20250529_163603290_0025.tiff,1.11508e-14,-9.13756e-15,-9.8928e-14,9.9973e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0855338
Basler_acA2040-35gm__23324651__20250529_163603290_0026.tiff,1.01909e-14,-5.57682e-15,3.31926e-14,3.51668e-14,-155.563,-1,-1,-1,-1,0.0829029
Basler_acA2040-35gm__23324651__20250529_163603290_0026.tiff,1.01909e-14,-5.57682e-15,3.31926e-14,3.51668e-14,-155.563,-1.84291e-18,-1.84291e-18,-1.84291e-18,-1.84291e-18,0.0829029
Basler_acA2040-35gm__23324651__20250529_163603290_0026.tiff,1.01909e-14,-5.57682e-15,3.31926e-14,3.51668e-14,-155.563,-1.89047e-18,-1.89047e-18,-1.89047e-18,-1.89047e-18,0.0829029
Basler_acA2040-35gm__23324651__20250529_163603290_0026.tiff,1.01909e-14,-5.57682e-15,3.31926e-14,3.51668e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0829029
Basler_acA2040-35gm__23324651__20250529_163603290_0027.tiff,-2.06706e-14,1.25311e-14,-9.04135e-14,9.3589e-14,-155.563,1,1,1,1,0.0676603
Basler_acA2040-35gm__23324651__20250529_163603290_0027.tiff,-2.06706e-14,1.25311e-14,-9.04135e-14,9.3589e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0676603
Basler_acA2040-35gm__23324651__20250529_163603290_0027.tiff,-2.06706e-14,1.25311e-14,-9.04135e-14,9.3589e-14,-155.563,9.5931e-18,9.5931e-18,9.5931e-18,9.5931e-18,0.0676603
Basler_acA2040-35gm__23324651__20250529_163603290_0027.tiff,-2.06706e-14,1.25311e-14,-9.04135e-14,9.3589e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0676603
Basler_acA2040-35gm__23324651__20250529_163603290_0028.tiff,1.45041e-14,-2.06966e-15,8.4843e-14,8.60987e-14,-155.563,1,1,1,1,0.074386
Basler_acA2040-35gm__23324651__20250529_163603290_0028.tiff,1.45041e-14,-2.06966e-15,8.4843e-14,8.60987e-14,-155.563,4.89069e-19,4.89069e-19,4.89069e-19,4.89069e-19,0.074386
Basler_acA2040-35gm__23324651__20250529_163603290_0028.tiff,1.45041e-14,-2.06966e-15,8.4843e-14,8.60987e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.074386
Basler_acA2040-35gm__23324651__20250529_163603290_0028.tiff,1.45041e-14,-2.06966e-15,8.4843e-14,8.60987e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.074386
Basler_acA2040-35gm__23324651__20250529_163603290_0029.tiff,2.17035e-15,-1.62687e-14,6.01252e-14,6.23251e-14,-155.563,1,1,1,1,0.0699212
Basler_acA2040-35gm__23324651__20250529_163603290_0029.tiff,2.17035e-15,-1.62687e-14,6.01252e-14,6.23251e-14,-155.563,7.73755e-19,7.73755e-19,7.73755e-19,7.73755e-19,0.0699212
Basler_acA2040-35gm__23324651__20250529_163603290_0029.tiff,2.17035e-15,-1.62687e-14,6.01252e-14,6.23251e-14,-155.563,3.25823e-19,3.25823e-19,3.25823e-19,3.25823e-19,0.0699212
Basler_acA2040-35gm__23324651__20250529_163603290_0029.tiff,2.17035e-15,-1.62687e-14,6.01252e-14,6.23251e-14,-155.563,5.90348e-18,5.90348e-18,5.90348e-18,5.90348e-18,0.0699212
Basler_acA2040-35gm__23324651__20250529_163603290_0030.tiff,-5.42564e-15,1.1877e-14,5.72951e-14,5.87642e-14,-155.563,-1,-1,-1,-1,0.0741449
Basler_acA2040-35gm__23324651__20250529_163603290_0030.tiff,-5.42564e-15,1.1877e-14,5.72951e-14,5.87642e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0741449
Basler_acA2040-35gm__23324651__20250529_163603290_0030.tiff,-5.42564e-15,1.1877e-14,5.72951e-14,5.87642e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0741449
Basler_acA2040-35gm__23324651__20250529_163603290_0030.tiff,-5.42564e-15,1.1877e-14,5.72951e-14,5.87642e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0741449
Basler_acA2040-35gm__23324651__20250529_163603290_0031.tiff,-5.72168e-15,2.07937e-15,2.79375e-16,6.09421e-15,-155.563,1,1,1,1,0.0748295
Basler_acA2040-35gm__23324651__20250529_163603290_0031.tiff,-5.72168e-15,2.07937e-15,2.79375e-16,6.09421e-15,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0748295
Basler_acA2040-35gm__23324651__20250529_163603290_0031.tiff,-5.72168e-15,2.07937e-15,2.79375e-16,6.09421e-15,-155.563,2.0056e-17,2.0056e-17,2.0056e-17,2.0056e-17,0.0748295
Basler_acA2040-35gm__23324651__20250529_163603290_0031.tiff,-5.72168e-15,2.07937e-15,2.79375e-16,6.09421e-15,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0748295
Basler_acA2040-35gm__23324651__20250529_163603290_0032.tiff,1.26728e-14,8.49862e-15,1.33192e-15,1.53167e-14,-155.563,-1,-1,-1,-1,0.0655272
Basler_acA2040-35gm__23324651__20250529_163603290_0032.tiff,1.26728e-14,8.49862e-15,1.33192e-15,1.53167e-14,-155.563,-5.20201e-18,-5.20201e-18,-5.20201e-18,-5.20201e-18,0.0655272
Basler_acA2040-35gm__23324651__20250529_163603290_0032.tiff,1.26728e-14,8.49862e-15,1.33192e-15,1.53167e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0655272
Basler_acA2040-35gm__23324651__20250529_163603290_0032.tiff,1.26728e-14,8.49862e-15,1.33192e-15,1.53167e-14,-155.563,-1.22405e-19,-1.22405e-19,-1.22405e-19,-1.22405e-19,0.0655272
Basler_acA2040-35gm__23324651__20250529_163603290_0033.tiff,-7.53292e-15,-5.11369e-15,-1.20421e-14,1.50966e-14,-155.563,1,1,1,1,0.0714839
Basler_acA2040-35gm__23324651__20250529_163603290_0033.tiff,-7.53292e-15,-5.11369e-15,-1.20421e-14,1.50966e-14,-155.563,4.68858e-18,4.68858e-18,4.68858e-18,4.68858e-18,0.0714839
Basler_acA2040-35gm__23324651__20250529_163603290_0033.tiff,-7.53292e-15,-5.11369e-15,-1.20421e-14,1.50966e-14,-155.563,1.76692e-18,1.76692e-18,1.76692e-18,1.76692e-18,0.0714839
Basler_acA2040-35gm__23324651__20250529_163603290_0033.tiff,-7.53292e-15,-5.11369e-15,-1.20421e-14,1.50966e-14,-155.563,1.72753e-17,1.72753e-17,1.72753e-17,1.72753e-17,0.0714839
Basler_acA2040-35gm__23324651__20250529_163603290_0034.tiff,-4.41085e-15,-1.78862e-14,2.06475e-14,2.76711e-14,-155.563,1,1,1,1,0.0818141
Basler_acA2040-35gm__23324651__20250529_163603290_0034.tiff,-4.41085e-15,-1.78862e-14,2.06475e-14,2.76711e-14,-155.563,8.75717e-18,8.75717e-18,8.75717e-18,8.75717e-18,0.0818141
Basler_acA2040-35gm__23324651__20250529_163603290_0034.tiff,-4.41085e-15,-1.78862e-14,2.06475e-14,2.76711e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0818141
Basler_acA2040-35gm__23324651__20250529_163603290_0034.tiff,-4.41085e-15,-1.78862e-14,2.06475e-14,2.76711e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0818141
Basler_acA2040-35gm__23324651__20250529_163603290_0035.tiff,-1.53819e-15,-4.36087e-15,-1.21333e-14,1.29846e-14,-155.563,1,1,1,1,0.0702074
Basler_acA2040-35gm__23324651__20250529_163603290_0035.tiff,-1.53819e-15,-4.36087e-15,-1.21333e-14,1.29846e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0702074
